1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
105.4589882,77.66230912,72.32492731,77.86736518,88.13005164,100.1375243,107.805084,99.08012306,92.5691207,105.288508,122.2901546,127.3050316,128.9349799,135.980158,136.2632825,145.5248126,140.9977374,149.6600682,164.9481542,175.1324228,186.4396607,193.638156,208.1708635,227.5496401,258.7202307,289.6759682,310.514347,341.0212935,373.4945008,382.8921553,391.6529529,421.8891748,475.9288697,536.3572647,599.8022805,657.9926002,716.2451166,774.884634,827.348598,882.5523218,949.1780621,1020.519994,1105.952557,1208.993961,1323.219929,1464.107627,1640.861518,1864.102702,2032.61498,2208.403948,2426.332466,
667070000,660330000,665770000,682335000,698355000,715185000,735400000,754550000,774510000,796025000,818315000,841105000,862030000,881940000,900350000,916395000,930685000,943455000,956165000,969005000,981235000,993885000,1008630000,1023310000,1036825000,1051040000,1066790000,1084035000,1101630000,1118650000,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331380000,1337825000,1344130000
,,,,,,,,,,,,,,,,,,,,,22.86,,,21.6,,,22.59,,,25.27,,,27.44,,,27.55,,,29.72,,,31.67,,,31.97,,,,,,
,,,,,,,,,,,,,,,,,,,,,3.72,,,3.76,,,3.26,,,3.49,,,3.18,,,3.11,,,2.73,,,2.28,,,1.79,,,,,,
,,,,,,,,,,,,,,,,,,,,,29.11,,,27.69,,,29.85,,,32.43,,,35.5,,,35.7,,,39.23,,,42.59,,,42.48,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.544980109,3.80662479,4.047855849,4.358556343,4.513420372,4.622936051,4.583392283,4.811689076,4.847570761,4.747534907,4.72656815,4.550478378,4.354221789,4.628439073,5.145721889,5.068317134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.9330521,475.5827169,388.7046972,421.6829798,547.673811,581.2065826,630.3007254,666.5457169,712.1990544,855.5395919,930.9095642,1077.109692,1198.862714,,,
,,,,,,,,,,20214900,26418500,31276100,35824400,34464300,36503600,44661100,58365800,67799000,65482500,59049600,55080800,48596000,45285000,43977300,45541500,47059600,48899300,49481100,47615200,45541200,45859600,46835000,47708000,47391100,49816643,53709790,57396761,60179000,64683886,69160881,,,84326729,,,85888817,84602299,82541838,80614978,78798728,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,26,28,30,32,34,36,38,40,42,44,46,49,51,53,55,57,59,61,63,64,
13723.23778,13808.06402,14426.75771,14846.32706,15490.73916,16277.37401,17136.34957,17374.53648,18027.61393,18405.71964,18228.92179,18622.33742,19441.37991,20394.98709,20104.54175,19868.26519,20746.79894,21491.82018,22461.78537,22914.55504,22630.52015,22978.98471,22310.23937,23105.52073,24554.40288,25338.55564,25965.88342,26549.87602,27388.61802,28098.40072,28298.44695,27849.88084,28401.46518,28834.55935,29655.06941,30050.98673,30827.9882,31831.46159,32847.35197,34053.35541,35081.92308,35116.21508,35427.90996,36021.31408,36931.39383,37718.00537,38349.39879,38710.88544,38208.76118,36539.22823,37329.61591,37691.02733
